"Full Name",Position,"Draft Year",Weight,"40-Yard Dash","Broad Jump","Vertical Jump","Bench Press","3-Cone Drill","20-Yard Shuttle","Breakout Age","College Dominator Rating"
"Deon Cain",WR,2018,"202 lbs",4.43,115,33.5,11,6.71,4.37,21.1,27.1%
"Deon Long",WR,2015,"192 lbs",4.51,120,34.0,12,6.98,4.27,20.2,31.1%
"Deon-Tay McManus",WR,2017,"226 lbs",4.59,116,34.0,20,7.38,4.41,-,14.4%
"Deondre Douglas",WR,2019,-,-,-,-,-,-,-,20.0,30.9%
"Deontay Burnett",WR,2018,"186 lbs",4.75,121,30.5,-,-,-,19.9,30.6%
"Deonte Greenberry",WR,2015,"211 lbs",4.55,116,35.5,21,7.23,4.31,19.5,34.2%
"Deonte Thompson",WR,2012,"203 lbs",4.36,125,36.5,20,6.96,4.40,-,13.3%
"Deontez Alexander",WR,2018,"196 lbs",4.40,130,37.5,15,6.91,4.08,19.1,44.1%
"Derel Walker",WR,2014,"188 lbs",4.70,126,37.5,12,6.82,4.36,-,15.2%
"Derrick Johnson",WR,2014,"190 lbs",4.52,122,33.0,12,6.60,4.20,-,13.3%
"Derrick Willies",WR,2018,"207 lbs",4.60,134,41.0,15,6.84,4.01,-,14.5%
"Devante Davis",WR,2015,"220 lbs",4.57,115,35.5,16,7.25,4.12,19.9,40.8%
"Devin Fuller",WR,2016,"194 lbs",4.44,124,36.0,-,7.03,4.07,-,14.1%
"Devin Funchess",WR,2015,"232 lbs",4.60,122,38.5,17,6.98,4.48,19.3,41.4%
"Devin Gray",WR,2018,"183 lbs",4.46,125,35.5,15,6.90,4.19,21.2,21.6%
"Devin Hester",WR,2006,"190 lbs",4.41,124,38.0,16,6.78,4.20,-,1.1%
"Devin Lucien",WR,2016,"222 lbs",4.54,117,34.5,13,6.93,4.30,22.2,27.2%
"Devin Ross",WR,2018,"192 lbs",4.57,123,35.0,16,6.94,4.23,21.1,18.4%
"Devin Smith",WR,2015,"196 lbs",4.42,122,39.0,10,6.83,4.15,20.5,26.8%
"Devin Street",WR,2014,"198 lbs",4.55,124,37.0,13,6.89,4.01,20.4,38.7%
"Devon Wylie",WR,2012,"186 lbs",4.39,123,39.0,17,6.82,4.16,21.0,16.9%
"Devonte Boyd",WR,2018,"193 lbs",4.64,122,34.5,18,6.98,4.45,19.9,33.3%
"Dez Bryant",WR,2010,"220 lbs",4.57,133,38.0,14,7.10,4.46,18.8,62.5%
